user_id,gasto_total,porcentaje_recomendacion,items_count
76561198089024454,612.6600000000002,33%,54
76561198034129825,1138.3300000000004,17%,111
76561198164545985,14.99,0%,4
tninjat,299.86,0%,26
76561198068935240,857.4700000000004,33%,90
76561198036955150,334.86,0%,24
76561198018840908,1107.3100000000004,0%,101
AlkalineDeath,872.5500000000003,50%,53
76561198075935236,264.82000000000005,100%,42
Jupeter117,687.4000000000003,100%,114
gsgg,792.4000000000003,0%,104
76561198075258452,439.7600000000001,67%,50
Jesusunholy,284.87,50%,22
mintifreshbadger,1082.1300000000006,100%,101
HenryCT,140.92000000000002,100%,35
AlpacaRevolution,482.7900000000001,0%,57
76561197996305896,897.5800000000003,100%,72
AlphaBryn444,937.2800000000004,0%,99
76561198009001563,3241.1099999999906,81%,245
76561198016753953,287.80000000000007,0%,31
smegmyfoodle,1215.4400000000005,0%,78
altas2011,567.6500000000002,0%,44
silentbroadcaster,1394.0800000000006,80%,116
76561198057869849,1129.4400000000005,0%,84
lol_ursuchanoob,1940.740000000001,0%,160
rhysf,695.6200000000002,0%,51
76561198098156489,549.6800000000002,33%,57
76561198040021446,330.70000000000016,0%,57
76561198035890730,164.9,0%,30
AMV72,11798.51999999986,0%,1041
76561198069170979,439.7600000000001,0%,50
76561198085956238,1334.2900000000004,0%,88
76561198132540690,321.81,100%,55
711armageddoncarmageddon,772.4000000000003,0%,96
76561198058301224,5210.709999999961,100%,397
76561198055326484,258.87,0%,25
76561198034868596,1664.9500000000007,60%,140
AncientBlade,41.96,100%,23
Andraison,857.4800000000004,0%,84
76561198048401235,663.5800000000003,43%,78
76561198050465176,758.5900000000003,33%,72
76561198026258913,667.6100000000001,88%,109
76561198069560699,877.4700000000004,50%,76
76561198099625419,1752.670000000001,53%,198
someone6245,1751.0600000000006,20%,116
76561198084032274,693.5500000000003,60%,70
76561198030772859,1372.3800000000003,0%,102
Angrovar,815.5600000000002,0%,82
AngryAinsley,604.7200000000001,0%,101
76561198069005048,391.7700000000001,0%,32
-AnimeIsMyThing-,1194.4400000000005,100%,127
uradumbtit,3198.1699999999896,33%,246
76561198037038784,1722.8700000000008,0%,136
IKillNoobsFirst,299.7700000000001,0%,48
76561198037888300,1402.1600000000003,40%,124
operationblueberry,376.78,0%,65
1234865654,463.64000000000016,96%,76
antacy,213.86,32%,35
76561197992148038,3393.2299999999627,73%,523
76561198084123358,0.0,33%,35
76561198034942509,2355.489999999998,100%,212
76561198032377745,857.4500000000004,100%,71
capitaomurilao,513.6600000000001,0%,63
Apachehavoc,1087.5300000000002,0%,81
ApexNZ,715.9200000000003,0%,62
76561198039441595,4142.029999999969,25%,389
76561198036687918,1710.1700000000003,0%,130
Apollopepsi,1282.4100000000003,0%,96
benjamin27,798.4800000000002,43%,105
AppoGetsSuperAdmin,359.80000000000007,100%,54
ARRIVE,497.6700000000001,91%,45
76561198071475367,391.7300000000001,100%,37
r3ap3r78,3658.4999999999823,100%,331
Aquilares,4050.719999999982,50%,296
76561198065064829,69.96,50%,10
XABLAUziitu,172.89999999999998,0%,86
76561198012909706,1845.720000000001,43%,182
aarcanicuss,222.9,0%,21
dragonchief,3618.929999999985,42%,264
76561198040530605,1268.1700000000003,0%,120
76561197974500703,3497.399999999984,100%,309
76561198047185525,1424.1100000000006,100%,114
mestuajix2,49.97,80%,8
76561198067188826,325.7200000000001,0%,34
ArcticTek,466.6600000000002,0%,62
76561197974465310,686.5700000000003,75%,72
sweep6060,1014.4000000000004,0%,107
bilyitu,295.7900000000001,0%,53
76561198088538797,394.7500000000001,0%,53
76561198089844789,313.80000000000007,0%,43
76561198072861800,54.96,0%,7
deployablearchnagel,1444.1900000000005,82%,119
rotflmaoman,1529.0600000000006,61%,120
76561198088670023,544.6200000000002,0%,54
76561198081028176,347.81000000000006,50%,66
ArmouredForBattle,69.97,0%,6
armouredmarshmallow,891.1100000000006,0%,119
darrenfordfalcon,966.5300000000004,36%,85
76561198020928326,1347.2900000000004,0%,110
76561198045570160,958.4700000000004,100%,131
arockstar28,344.8100000000001,0%,38
Array71,3100.2799999999897,40%,222
76561198039874575,1244.3500000000004,36%,103
arronlim13,1106.8300000000004,67%,131
76561198042389215,1949.9700000000007,0%,170
76561198006534186,1020.4400000000004,0%,81
artej96,92.92,0%,12
ARTHERDUNGER10,1912.650000000001,0%,167
Mackus1011,2789.89999999999,67%,267
76561198041877981,932.5000000000005,0%,83
ARZARNAR,1142.3100000000004,67%,119
76561198089950447,480.8000000000001,50%,40
darkmassieh,1869.8800000000008,75%,174
Boomblasty,39.98,0%,12
asianturtlefrenzy,792.9000000000003,0%,87
Edmund28,153.86999999999998,0%,38
blowjobsfurdayzandgayz,465.71000000000015,60%,104
76561198082992295,164.94,100%,21
LaLocaDeLosDulces,253.86000000000004,50%,48
76561198096064761,44.97,71%,12
76561198064352761,1881.1100000000008,75%,117
assassin_warman,1355.6500000000003,0%,165
76561198019431054,1509.9000000000008,25%,137
Astrelt,1633.2600000000011,50%,297
bobjimmy007,1161.4000000000003,0%,126
76561198091740831,235.8400000000001,0%,25
76561198095380303,1377.4500000000005,0%,68
76561198052003136,124.94,40%,27
omgihaveawebpage,740.3200000000004,32%,126
Swish0009,1880.4900000000007,0%,181
76561198030943851,1075.3800000000003,50%,81
Aurora99,1382.1200000000006,33%,136
76561198053071988,2521.629999999998,0%,174
minionking,357.87,100%,22
76561198083375450,2042.7100000000007,67%,215
scroopy22,4934.30999999996,60%,460
76561198076984454,274.86000000000007,0%,31
76561198091054851,1541.0600000000006,100%,144
iDestrix,487.7300000000001,62%,46
auzmoz,348.2900000000001,57%,49
auzzie_96,969.3600000000004,57%,92
76561198009353440,552.6700000000002,0%,43
76561198082020576,271.84000000000003,53%,47
fatrangacuntnolifevirgin,472.8100000000001,100%,52
helvisavillon,0.0,50%,2
76561198080015704,288.86,65%,27
76561198040602004,1132.4700000000005,50%,75
76561198082959786,174.89,33%,25
76561198064150679,1036.5700000000002,52%,86
76561198110293299,560.78,67%,80
cam5699,1106.3200000000004,0%,105
de_triggered,390.7500000000001,100%,53
76561198071748311,507.7600000000001,100%,29
azzydazzy,1602.1100000000006,33%,136
76561198048900256,497.7200000000001,20%,44
Azrafael,903.8700000000003,0%,73
-Azsael-,2381.699999999998,33%,167
76561198076301023,71.95,0%,12
arewefaded,1823.8700000000008,100%,232
76561198065247809,922.2300000000004,0%,170
76561198086081043,559.69,9%,54
hoarbiscuit,1712.8000000000009,0%,183
bohgeraltofrivia,1517.1300000000006,0%,130
TeH-B-Rad,994.3800000000005,83%,128
BAW_Killer,1737.9900000000007,50%,134
moriceplease,194.85,0%,20
gamerdude7892,527.6300000000002,0%,72
76561197970168558,460.7300000000001,0%,33
timothyshen,24.98,80%,20
76561198227794828,506.7900000000001,0%,53
2ez4medick,382.74,65%,32
76561198118595651,164.9,0%,35
BBBirb,103.84999999999998,33%,51
AgentXiri,214.88,100%,37
76561198018950738,1417.2300000000005,0%,138
hamfritta,1911.560000000001,50%,168
76561198064579722,247.77000000000007,20%,54
potatoskins,869.4900000000002,0%,72
crispymemesmantheyremyfavourite,834.3300000000005,100%,97
76561198044593618,364.85,100%,41
76561198074409406,712.6500000000002,52%,57
76561198049617612,1666.010000000001,40%,102
H-Alo,1032.3600000000004,0%,86
76561198075444114,445.7400000000001,100%,43
420Blz,2243.749999999998,0%,199
76561198076548816,427.6800000000002,87%,73
76561198075039895,509.7000000000001,67%,35
chillrend,600.6300000000002,47%,56
76561198218877443,14.99,33%,3
76561198070149038,289.83000000000004,0%,31
76561197994407780,180.88,100%,21
76561198035548591,304.93,50%,15
Gborges,218.82,0%,122
lukeyturley,667.7000000000002,80%,42
SergeantBash111,726.4600000000003,47%,191
76561198071872532,89.94999999999999,0%,26
PolygonCloud,1013.3600000000004,25%,126
ZUERA12,736.2700000000004,69%,197
76561198083661294,0.0,100%,1
76561198043660058,1278.2200000000005,12%,118
76561198095142204,1005.3700000000003,50%,71
BOB_200,1260.3000000000004,50%,121
76561198070735033,1460.9400000000007,33%,130
76561198018560501,681.59,67%,44
76561198010642927,1789.9600000000007,100%,196
76561198051148175,530.6700000000002,0%,55
76561198047208452,3184.0599999999845,40%,285
generalale,485.70000000000016,50%,59
76561198027831921,80.92999999999999,0%,14
brendoboy,2772.339999999994,54%,255
76561198071234254,490.7100000000001,50%,50
76561198165870150,229.82000000000005,50%,38
76561198083049918,234.88,0%,36
76561198072652548,1300.3100000000004,0%,102
Infixation,6339.959999999937,100%,601
76561198071162228,95.92,40%,40
brodo764,851.5200000000003,0%,117
76561198047304525,2055.680000000001,0%,177
76561198068855162,1917.0400000000009,89%,115
76561197994969639,928.4000000000004,40%,69
76561198200015694,147.89999999999998,0%,30
76561198064016444,514.7500000000001,0%,58
minecraft123,809.6700000000002,100%,56
76561197960694096,2346.5599999999968,80%,187
JuanManSnipez,1050.3900000000003,23%,102
Ben_Andy,563.6400000000001,80%,54
Bennysaputra,701.5400000000002,0%,87
76561198067021476,651.6700000000002,0%,44
76561198190487725,354.88000000000005,100%,38
76561198045071942,1201.4200000000003,0%,67
76561198027081791,4175.219999999975,0%,328
Bhappiikhat,224.90000000000003,100%,29
76561198027046431,575.5000000000003,0%,63
76561198087471896,14.99,0%,13
76561198082863312,0.0,43%,8
Ahahahahahahahahahahahahahahaha,317.75000000000006,100%,59
BITCHPLESE,939.3800000000005,0%,139
Too_1337,2814.109999999992,0%,264
76561198069143001,1499.2900000000002,0%,62
76561198074755143,2827.7299999999927,0%,229
limabeansaregross,2462.759999999997,58%,158
76561198075175410,245.83,0%,83
76561198045214274,516.73,50%,40
kinglemon1222,782.4200000000004,0%,128
76561198050404009,707.6500000000002,50%,51
76561198030636321,1700.0800000000006,0%,139
76561198007342405,2046.9100000000008,71%,214
76561198081885254,150.9,0%,34
LlamasInNigjamas,239.84000000000003,75%,39
76561198048370750,274.7800000000001,100%,58
76561198035363871,1502.0400000000006,100%,129
Hummingsenpai,130.89999999999998,0%,22
bioturdz,1403.2100000000005,47%,132
76561198018845815,734.4900000000002,100%,63
CHAAANG,1011.4200000000004,100%,78
76561198056980314,497.7100000000001,100%,74
76561198077586769,342.81000000000006,100%,66
76561198043296029,395.72000000000014,25%,49
bitmat,4911.739999999965,0%,385
76561198028483487,1261.3000000000004,0%,88
Ghoster09,216.87,0%,54
76561198081496844,1131.3900000000003,100%,80
180577,578.5900000000001,100%,66
BlackHeart,162.9,0%,17
Barridos,435.6800000000001,29%,45
76561198053775195,104.93,0%,16
